tree_size ; branching_setting ; number_of_changes ; algorithm ; run ; time ; is_correct ; reduction
2000 ; 5 ; 20 ; custom ; 1 ; 18,547694206237793 ; - 10.104166666666666
2000 ; 5 ; 20 ; custom ; 1 ; 12,911725997924805 ; - 9.163484901076014
2000 ; 5 ; 20 ; custom ; 1 ; 15,211859226226807 ; - 9.59902794653706
2000 ; 5 ; 20 ; custom ; 1 ; 10,30550503730774 ; - 8.27693909422176
2000 ; 5 ; 20 ; custom ; 1 ; 17,530876874923706 ; - 9.842041312272174
2000 ; 5 ; 100 ; custom ; 1 ; 403,5569522380829 ; - 32.61735666031526
2000 ; 5 ; 100 ; custom ; 1 ; 471,0977711677551 ; - 34.44444444444444
2000 ; 5 ; 100 ; custom ; 1 ; 453,47798895835876 ; - 34.282242666203786
Code timeout
2000 ; 5 ; 100 ; custom ; 1 ; 634,5493760108948 ; - -
2000 ; 5 ; 100 ; custom ; 1 ; 599,1061320304871 ; - 37.61913013342575
2000 ; 5 ; 100 ; custom ; 1 ; 440,2102921009064 ; - 33.53022932592078
2000 ; 5 ; 100 ; custom ; 1 ; 434,1819989681244 ; - 32.9519847460565
2000 ; 5 ; 100 ; custom ; 1 ; 517,2863521575928 ; - 35.38515040862459
